run_id,participant,session,trial_index,trial_id,image_file,sample_index,sample_session_s,sample_unix_s,sample_from_image_onset_s,gaze_x_pix,gaze_y_pix,screen_width_px,screen_height_px,image_stim_width_units,image_stim_height_units,image_stim_center_x_units,image_stim_center_y_units,units
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,115,74.013733,1779113449.476456,1.9,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,116,74.0304,1779113449.493123,1.916667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,117,74.047067,1779113449.509789,1.933333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,118,74.063733,1779113449.526456,1.95,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,119,74.0804,1779113449.543123,1.966667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,120,74.097067,1779113449.559789,1.983333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,121,74.113733,1779113449.576456,2.0,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,122,74.1304,1779113449.593122,2.016667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,123,74.147067,1779113449.609789,2.033333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,124,74.163733,1779113449.626456,2.05,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,125,74.1804,1779113449.643122,2.066667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,126,74.197067,1779113449.659789,2.083333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,127,74.213733,1779113449.676456,2.1,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,128,74.2304,1779113449.693122,2.116667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,129,74.247067,1779113449.709789,2.133333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,130,74.263733,1779113449.726456,2.15,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,131,74.2804,1779113449.743123,2.166667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,132,74.297067,1779113449.759789,2.183333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,133,74.313733,1779113449.776456,2.2,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,134,74.3304,1779113449.793123,2.216667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,135,74.347067,1779113449.809789,2.233333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,136,74.363733,1779113449.826456,2.25,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,137,74.3804,1779113449.843122,2.266667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,138,74.397067,1779113449.859789,2.283333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,139,74.413733,1779113449.876456,2.3,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,140,74.4304,1779113449.893122,2.316667,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,141,74.447067,1779113449.909789,2.333333,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
real_001_s001_2026-05-18_16-09-35-461,001,001,1,020,020.jpg,142,74.463733,1779113449.926456,2.35,-1400.0,-412.0,2940,1912,1.188406,0.82,0.0,0.0,pix
